Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2001","2001","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2002","2002","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2003","2003","1000 ha","5106","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2004","2004","1000 ha","5106","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2005","2005","1000 ha","5106","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2006","2006","1000 ha","5106","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2007","2007","1000 ha","5106","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2008","2008","1000 ha","5106","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2009","2009","1000 ha","5106","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2010","2010","1000 ha","5106","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2011","2011","1000 ha","5106","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2012","2012","1000 ha","5106","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2013","2013","1000 ha","5106","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2014","2014","1000 ha","5106","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2015","2015","1000 ha","5106","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2016","2016","1000 ha","5106","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2017","2017","1000 ha","5106","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6601","Superficie de tierras","2018","2018","1000 ha","5106","I","Valor imputado",""
